"size_code","width_mm","aspect_ratio_pct","rim_in","unloaded_diameter_mm","unloaded_radius_mm","unloaded_circumference_mm","dynamic_factor","expected_rolling_radius_mm","expected_effective_circumference_mm","source","notes"
"245/35R19","245","35","19","654.1","327.05","2054.916","0.97","317.239","1993.268","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"245/35R20","245","35","20","679.5","339.75","2134.712","0.97","329.558","2070.671","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"245/40R15","245","40","15","577","288.5","1812.699","0.97","279.845","1758.318","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"245/40R16","245","40","16","602.4","301.2","1892.495","0.97","292.164","1835.721","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"245/40R17","245","40","17","627.8","313.9","1972.292","0.97","304.483","1913.123","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"245/40R18","245","40","18","653.2","326.6","2052.088","0.97","316.802","1990.526","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"245/40R19","245","40","19","678.6","339.3","2131.885","0.97","329.121","2067.928","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"245/40R20","245","40","20","704","352","2211.681","0.97","341.44","2145.331","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"245/45R14","245","45","14","576.1","288.05","1809.872","0.97","279.409","1755.575","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"245/45R15","245","45","15","601.5","300.75","1889.668","0.97","291.728","1832.978","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"245/45R16","245","45","16","626.9","313.45","1969.464","0.97","304.047","1910.381","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"245/45R17","245","45","17","652.3","326.15","2049.261","0.97","316.366","1987.783","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"245/45R18","245","45","18","677.7","338.85","2129.057","0.97","328.685","2065.186","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"245/45R19","245","45","19","703.1","351.55","2208.854","0.97","341.004","2142.588","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"245/50R13","245","50","13","575.2","287.6","1807.044","0.97","278.972","1752.833","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"245/50R14","245","50","14","600.6","300.3","1886.841","0.97","291.291","1830.235","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"245/50R15","245","50","15","626","313","1966.637","0.97","303.61","1907.638","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"245/50R16","245","50","16","651.4","325.7","2046.433","0.97","315.929","1985.04","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"245/50R17","245","50","17","676.8","338.4","2126.23","0.97","328.248","2062.443","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"245/50R18","245","50","18","702.2","351.1","2206.026","0.97","340.567","2139.846","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"245/55R14","245","55","14","625.1","312.55","1963.81","0.97","303.174","1904.895","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"245/55R15","245","55","15","650.5","325.25","2043.606","0.97","315.493","1982.298","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"245/55R16","245","55","16","675.9","337.95","2123.402","0.97","327.812","2059.7","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"245/55R17","245","55","17","701.3","350.65","2203.199","0.97","340.131","2137.103","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"245/55R18","245","55","18","726.7","363.35","2282.995","0.97","352.45","2214.506","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"245/55R19","245","55","19","752.1","376.05","2362.792","0.97","364.769","2291.908","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"245/60R12","245","60","12","598.8","299.4","1881.186","0.97","290.418","1824.75","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"245/60R13","245","60","13","624.2","312.1","1960.982","0.97","302.737","1902.153","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"245/60R14","245","60","14","649.6","324.8","2040.779","0.97","315.056","1979.555","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"245/60R15","245","60","15","675","337.5","2120.575","0.97","327.375","2056.958","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"245/60R16","245","60","16","700.4","350.2","2200.371","0.97","339.694","2134.36","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"245/60R17","245","60","17","725.8","362.9","2280.168","0.97","352.013","2211.763","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"245/65R12","245","65","12","623.3","311.65","1958.155","0.97","302.301","1899.41","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"245/65R13","245","65","13","648.7","324.35","2037.951","0.97","314.62","1976.813","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"245/65R14","245","65","14","674.1","337.05","2117.748","0.97","326.939","2054.215","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"245/65R15","245","65","15","699.5","349.75","2197.544","0.97","339.258","2131.618","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"245/65R16","245","65","16","724.9","362.45","2277.341","0.97","351.577","2209.02","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"245/65R17","245","65","17","750.3","375.15","2357.137","0.97","363.896","2286.423","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"245/70R10","245","70","10","597","298.5","1875.531","0.97","289.545","1819.265","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"245/70R12","245","70","12","647.8","323.9","2035.124","0.97","314.183","1974.07","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"245/70R13","245","70","13","673.2","336.6","2114.92","0.97","326.502","2051.473","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"245/70R14","245","70","14","698.6","349.3","2194.717","0.97","338.821","2128.875","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"245/70R15","245","70","15","724","362","2274.513","0.97","351.14","2206.278","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"245/70R16","245","70","16","749.4","374.7","2354.31","0.97","363.459","2283.68","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"245/75R10","245","75","10","621.5","310.75","1952.5","0.97","301.428","1893.925","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"245/75R12","245","75","12","672.3","336.15","2112.093","0.97","326.066","2048.73","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"245/75R13","245","75","13","697.7","348.85","2191.889","0.97","338.385","2126.133","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"245/75R14","245","75","14","723.1","361.55","2271.686","0.97","350.704","2203.535","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"245/75R15","245","75","15","748.5","374.25","2351.482","0.97","363.023","2280.938","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"245/75R16","245","75","16","773.9","386.95","2431.279","0.97","375.342","2358.34","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"245/75R17","245","75","17","799.3","399.65","2511.075","0.97","387.661","2435.743","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"255/35R15","255","35","15","559.5","279.75","1757.721","0.97","271.358","1704.989","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"255/35R16","255","35","16","584.9","292.45","1837.518","0.97","283.677","1782.392","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"255/35R17","255","35","17","610.3","305.15","1917.314","0.97","295.996","1859.795","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"255/35R18","255","35","18","635.7","317.85","1997.11","0.97","308.315","1937.197","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"255/35R19","255","35","19","661.1","330.55","2076.907","0.97","320.634","2014.6","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"255/35R20","255","35","20","686.5","343.25","2156.703","0.97","332.953","2092.002","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"255/40R15","255","40","15","585","292.5","1837.832","0.97","283.725","1782.697","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"255/40R16","255","40","16","610.4","305.2","1917.628","0.97","296.044","1860.099","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"255/40R17","255","40","17","635.8","317.9","1997.425","0.97","308.363","1937.502","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"255/40R18","255","40","18","661.2","330.6","2077.221","0.97","320.682","2014.904","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"255/40R19","255","40","19","686.6","343.3","2157.018","0.97","333.001","2092.307","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"255/40R20","255","40","20","712","356","2236.814","0.97","345.32","2169.71","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"255/45R14","255","45","14","585.1","292.55","1838.146","0.97","283.774","1783.001","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"255/45R15","255","45","15","610.5","305.25","1917.942","0.97","296.093","1860.404","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"255/45R16","255","45","16","635.9","317.95","1997.739","0.97","308.412","1937.807","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"255/45R17","255","45","17","661.3","330.65","2077.535","0.97","320.731","2015.209","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"255/45R18","255","45","18","686.7","343.35","2157.332","0.97","333.05","2092.612","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"255/45R19","255","45","19","712.1","356.05","2237.128","0.97","345.369","2170.014","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"255/50R13","255","50","13","585.2","292.6","1838.46","0.97","283.822","1783.306","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"255/50R14","255","50","14","610.6","305.3","1918.256","0.97","296.141","1860.709","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"255/50R15","255","50","15","636","318","1998.053","0.97","308.46","1938.111","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"255/50R16","255","50","16","661.4","330.7","2077.849","0.97","320.779","2015.514","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"255/50R17","255","50","17","686.8","343.4","2157.646","0.97","333.098","2092.916","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"255/50R18","255","50","18","712.2","356.1","2237.442","0.97","345.417","2170.319","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"255/55R14","255","55","14","636.1","318.05","1998.367","0.97","308.509","1938.416","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"255/55R15","255","55","15","661.5","330.75","2078.164","0.97","320.828","2015.819","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"255/55R16","255","55","16","686.9","343.45","2157.96","0.97","333.147","2093.221","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"255/55R17","255","55","17","712.3","356.15","2237.756","0.97","345.466","2170.624","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"255/55R18","255","55","18","737.7","368.85","2317.553","0.97","357.785","2248.026","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"255/55R19","255","55","19","763.1","381.55","2397.349","0.97","370.104","2325.429","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"255/60R12","255","60","12","610.8","305.4","1918.885","0.97","296.238","1861.318","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"255/60R13","255","60","13","636.2","318.1","1998.681","0.97","308.557","1938.721","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"255/60R14","255","60","14","661.6","330.8","2078.478","0.97","320.876","2016.123","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"255/60R15","255","60","15","687","343.5","2158.274","0.97","333.195","2093.526","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"255/60R16","255","60","16","712.4","356.2","2238.071","0.97","345.514","2170.928","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"255/60R17","255","60","17","737.8","368.9","2317.867","0.97","357.833","2248.331","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"255/65R12","255","65","12","636.3","318.15","1998.995","0.97","308.606","1939.026","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"255/65R13","255","65","13","661.7","330.85","2078.792","0.97","320.925","2016.428","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"255/65R14","255","65","14","687.1","343.55","2158.588","0.97","333.244","2093.831","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"255/65R15","255","65","15","712.5","356.25","2238.385","0.97","345.563","2171.233","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"255/65R16","255","65","16","737.9","368.95","2318.181","0.97","357.882","2248.636","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"255/65R17","255","65","17","763.3","381.65","2397.978","0.97","370.201","2326.038","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"255/70R10","255","70","10","611","305.5","1919.513","0.97","296.335","1861.928","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"255/70R12","255","70","12","661.8","330.9","2079.106","0.97","320.973","2016.733","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"255/70R13","255","70","13","687.2","343.6","2158.902","0.97","333.292","2094.135","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"255/70R14","255","70","14","712.6","356.3","2238.699","0.97","345.611","2171.538","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"255/70R15","255","70","15","738","369","2318.495","0.97","357.93","2248.941","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"255/70R16","255","70","16","763.4","381.7","2398.292","0.97","370.249","2326.343","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"255/70R18","255","70","18","814.2","407.1","2557.885","0.97","394.887","2481.148","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"255/75R10","255","75","10","636.5","318.25","1999.624","0.97","308.703","1939.635","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"255/75R12","255","75","12","687.3","343.65","2159.217","0.97","333.341","2094.44","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"255/75R13","255","75","13","712.7","356.35","2239.013","0.97","345.66","2171.843","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"255/75R14","255","75","14","738.1","369.05","2318.81","0.97","357.979","2249.245","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"255/75R15","255","75","15","763.5","381.75","2398.606","0.97","370.298","2326.648","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"255/75R16","255","75","16","788.9","394.45","2478.402","0.97","382.617","2404.05","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"255/75R17","255","75","17","814.3","407.15","2558.199","0.97","394.936","2481.453","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"265/30R15","265","30","15","540","270","1696.46","0.97","261.9","1645.566","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"265/30R16","265","30","16","565.4","282.7","1776.256","0.97","274.219","1722.969","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"265/30R17","265","30","17","590.8","295.4","1856.053","0.97","286.538","1800.371","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"265/30R18","265","30","18","616.2","308.1","1935.849","0.97","298.857","1877.774","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"265/30R19","265","30","19","641.6","320.8","2015.646","0.97","311.176","1955.176","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"265/30R20","265","30","20","667","333.5","2095.442","0.97","323.495","2032.579","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"265/35R15","265","35","15","566.5","283.25","1779.712","0.97","274.753","1726.321","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"265/35R16","265","35","16","591.9","295.95","1859.509","0.97","287.072","1803.723","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"265/35R17","265","35","17","617.3","308.65","1939.305","0.97","299.391","1881.126","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"265/35R18","265","35","18","642.7","321.35","2019.102","0.97","311.71","1958.529","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"265/35R19","265","35","19","668.1","334.05","2098.898","0.97","324.029","2035.931","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"265/35R20","265","35","20","693.5","346.75","2178.695","0.97","336.348","2113.334","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"265/40R15","265","40","15","593","296.5","1862.964","0.97","287.605","1807.076","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"265/40R16","265","40","16","618.4","309.2","1942.761","0.97","299.924","1884.478","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"265/40R17","265","40","17","643.8","321.9","2022.557","0.97","312.243","1961.881","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"265/40R18","265","40","18","669.2","334.6","2102.354","0.97","324.562","2039.283","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"265/40R19","265","40","19","694.6","347.3","2182.15","0.97","336.881","2116.686","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"265/40R20","265","40","20","720","360","2261.947","0.97","349.2","2194.088","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"265/45R14","265","45","14","594.1","297.05","1866.42","0.97","288.139","1810.428","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"265/45R15","265","45","15","619.5","309.75","1946.217","0.97","300.458","1887.83","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"265/45R16","265","45","16","644.9","322.45","2026.013","0.97","312.777","1965.233","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"265/45R17","265","45","17","670.3","335.15","2105.81","0.97","325.096","2042.635","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"265/45R18","265","45","18","695.7","347.85","2185.606","0.97","337.415","2120.038","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"265/45R19","265","45","19","721.1","360.55","2265.402","0.97","349.734","2197.44","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"265/50R13","265","50","13","595.2","297.6","1869.876","0.97","288.672","1813.78","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"265/50R14","265","50","14","620.6","310.3","1949.672","0.97","300.991","1891.182","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"265/50R15","265","50","15","646","323","2029.469","0.97","313.31","1968.585","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"265/50R16","265","50","16","671.4","335.7","2109.265","0.97","325.629","2045.987","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"265/50R17","265","50","17","696.8","348.4","2189.062","0.97","337.948","2123.39","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"265/50R18","265","50","18","722.2","361.1","2268.858","0.97","350.267","2200.792","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"265/55R14","265","55","14","647.1","323.55","2032.925","0.97","313.844","1971.937","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"265/55R15","265","55","15","672.5","336.25","2112.721","0.97","326.163","2049.339","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"265/55R16","265","55","16","697.9","348.95","2192.518","0.97","338.482","2126.742","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"265/55R17","265","55","17","723.3","361.65","2272.314","0.97","350.801","2204.145","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"265/55R18","265","55","18","748.7","374.35","2352.11","0.97","363.12","2281.547","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"265/55R19","265","55","19","774.1","387.05","2431.907","0.97","375.439","2358.95","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"265/60R12","265","60","12","622.8","311.4","1956.584","0.97","302.058","1897.886","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"265/60R13","265","60","13","648.2","324.1","2036.38","0.97","314.377","1975.289","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"265/60R14","265","60","14","673.6","336.8","2116.177","0.97","326.696","2052.692","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"265/60R15","265","60","15","699","349.5","2195.973","0.97","339.015","2130.094","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"265/60R16","265","60","16","724.4","362.2","2275.77","0.97","351.334","2207.497","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"265/60R17","265","60","17","749.8","374.9","2355.566","0.97","363.653","2284.899","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"265/60R18","265","60","18","775.2","387.6","2435.363","0.97","375.972","2362.302","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"265/65R12","265","65","12","649.3","324.65","2039.836","0.97","314.911","1978.641","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"265/65R13","265","65","13","674.7","337.35","2119.633","0.97","327.23","2056.044","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"265/65R14","265","65","14","700.1","350.05","2199.429","0.97","339.549","2133.446","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"265/65R15","265","65","15","725.5","362.75","2279.225","0.97","351.868","2210.849","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"265/65R16","265","65","16","750.9","375.45","2359.022","0.97","364.187","2288.251","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"265/65R17","265","65","17","776.3","388.15","2438.818","0.97","376.506","2365.654","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"265/70R10","265","70","10","625","312.5","1963.495","0.97","303.125","1904.591","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"265/70R12","265","70","12","675.8","337.9","2123.088","0.97","327.763","2059.396","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"265/70R13","265","70","13","701.2","350.6","2202.885","0.97","340.082","2136.798","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"265/70R14","265","70","14","726.6","363.3","2282.681","0.97","352.401","2214.201","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"265/70R15","265","70","15","752","376","2362.478","0.97","364.72","2291.603","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"265/70R16","265","70","16","777.4","388.7","2442.274","0.97","377.039","2369.006","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"275/30R15","275","30","15","546","273","1715.31","0.97","264.81","1663.85","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"275/30R16","275","30","16","571.4","285.7","1795.106","0.97","277.129","1741.253","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"275/30R17","275","30","17","596.8","298.4","1874.902","0.97","289.448","1818.655","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"275/30R18","275","30","18","622.2","311.1","1954.699","0.97","301.767","1896.058","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"275/30R19","275","30","19","647.6","323.8","2034.495","0.97","314.086","1973.461","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"275/30R20","275","30","20","673","336.5","2114.292","0.97","326.405","2050.863","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"275/35R15","275","35","15","573.5","286.75","1801.703","0.97","278.148","1747.652","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"275/35R16","275","35","16","598.9","299.45","1881.5","0.97","290.467","1825.055","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"275/35R17","275","35","17","624.3","312.15","1961.296","0.97","302.786","1902.457","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"275/35R18","275","35","18","649.7","324.85","2041.093","0.97","315.105","1979.86","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"275/35R19","275","35","19","675.1","337.55","2120.889","0.97","327.424","2057.263","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"275/35R20","275","35","20","700.5","350.25","2200.686","0.97","339.743","2134.665","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"275/40R15","275","40","15","601","300.5","1888.097","0.97","291.485","1831.454","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"275/40R16","275","40","16","626.4","313.2","1967.894","0.97","303.804","1908.857","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
